LON,LAT,resource_t,org_name,address,contact_na,contact_ti,phone,email,optional_r
-85.2226901,37.6834908,Shared Equipment,Washington County Farm Bureau,"100 E Depot St, Springfield, KY 40069",Jeremy Hardin,Agency Manager,(859) 336-9472,[none],Manure Spreader
-85.2242075,37.700355,Shared Equipment,Washington County Conservation District,"461 Lincoln Drive, Springfield, KY 40069",Dana Shewmaker,Administrative Secretary,(859) 336-7777,Dana.shewmaker@ky.nacdnet.net,"Lime Spreader, Sprayer"
-84.7581091,38.0477522,Shared Equipment,Woodford County Conservation District,"180 Beasley Road, Versailles, KY 40383",Jimmy Chambers,Administrative Secretary,(859) 873-4941,woodfordcd@gmail.com,No-Till Drill
-86.2185953,36.7539191,Educational Greenhouse,Allen County High School,"1545 Bowling Green Rd, Scottsville, KY 42164",Nikki Towe,Ag Teacher,(270) 618-0384,nikki.towe@allen.kyschools.us,
-88.9874563,37.0669876,Educational Greenhouse,Ballard Memorial High School,"3561 Paducah Rd, Barlow, KY 42024",Dana Rohrer,,(270) 665-9400 ext. 2401,dana.rohrer@ballard.kyschools.us,
-84.2547683,38.207091,Educational Greenhouse,St. Mary School,"1121 Main St, Paris, KY 40361",Lucy Marsh,Principal,(859) 987-3815,lmarsh@cdlex.org,
-86.4243868,37.7547654,Educational Greenhouse,Breckinridge County High School,"2019 US-60, Harned, KY 40144",Brad Davis,Ag Teacher,(270) 756-3080,brad.davis@breckinridge.kyschools.us,
-88.9322855,36.8334363,Educational Greenhouse,Carlisle County High School,"4557 KY-1377, Bardwell, KY 42023",Michelle Trevathan,,,michelle.trevathan@carlisle.kyschools.us,
-85.1567903,38.6830769,Educational Greenhouse,Carroll County High School,"1706 Highland Ave, Carrollton, KY 41008",Mackenzie Wright,Ag Teacher,(502) 732-7075,mackenzie.wright@carroll.kyschools.us,
-82.9465007,38.3280146,Educational Greenhouse,Carter County Schools,"228 S. Carol Malone Blvd, Grayson, KY 41143",Ronnie Dotson,Superintendent,(606) 474-6696 ext. 20900,ronnie.dotson@carter.kyschools.us,
-87.4914455,36.8796697,Educational Greenhouse,Christian County High School,"220 Glass Ave, Hopkinsville, KY 42240",Olivia Clark,Ag Teacher,(270) 887-7055,olivia.clark@christian.kyschools.us,
-88.0895598,37.3298261,Educational Greenhouse,Crittenden County High School,"519 1/2 W Gum St, Marion, KY 42064",Larry Duvall,Ag Teacher,(270) 704-0653,larry.duvall@crittenden.kyschools.us,
-85.3636376,36.8002252,Educational Greenhouse,Cumberland County High School,"912 N Main St, Burkesville, KY 42717",Jason Dodoson,Principal,(270) 864-3451,jason.dodson@cumberland.kyschools.us,
-87.0849275,37.7298237,Educational Greenhouse,Daviess County High School,"4255 New Hartford Rd, Owensboro, KY 42303",Kathy Hoffman,Ag Program Coordinator,(270) 686-4643,kathy.hoffman@kctcs.edu,
-87.0827556,37.7173282,Educational Greenhouse,Owensboro Community & Technical College,"4800 New Hartford Rd, Owensboro, KY 42303",Chad Askins,Ag Teacher,(270) 852-7310,chad.askins@daviess.kyschools.us,
-83.1292457,38.0851928,Educational Greenhouse,Elliott County High School,"349 KY-7, Sandy Hook, KY 41171",John C. Williams,Superintendent,(606) 738-8002,john.williams@elliott.kyschools.us,
-84.9077546,38.1624543,Educational Greenhouse,Western Hills High School,"100 Doctors Dr, Frankfort, KY 40601",Kylen Douglas,Ag Teacher / FFA Advisor,,kylen.douglas@franklin.kyschools.us,
-84.5700212,37.6021513,Educational Greenhouse,Garrard County High School,"599 Industry Rd, Lancaster, KY 40444",Aaron McDonald,Ag Teacher,,aaron.mcdonald@garrard.kyschools.us,
-84.6735106,38.6885872,Educational Greenhouse,Grant County High School,"715 Warsaw Rd, Dry Ridge, KY 41035",Larry Butler,Ag Teacher,,larry.butler@grant.kyschools.us,
-85.8816687,37.2596237,Educational Greenhouse,Hart County High School,"1014 S Dixie Hwy, Munfordville, KY 42765",Ashley Thomas,Ag Teacher,,ashley.thomas@hart.kyschools.us,
-87.5022508,37.3236524,Educational Greenhouse,Hopkins County Board of Education,"320 S Seminary St, Madisonville, KY 42431",Steve Gilliam,Facilities Manager,(270) 825-6017,steve.gilliam@hopkins.kyschools.us,
-84.6163589,37.885744,Educational Greenhouse,West Jessamine County High School,"2101 Wilmore Rd, Nicholasville, KY 40356",Christina Thomas,FFA Advisor,,christina.thomas@jessamine.kyschools.us,
-84.6531215,37.5132166,Educational Greenhouse,Lincoln County High School,"60 Education Way, Stanford, KY 40484",Harvey Franklin,,,harvey.franklin@lincoln.kyschools.us,
-88.0808395,37.0937215,Educational Greenhouse,Lyon County High School,"209 Fairview Ave, Eddyville, KY 42038",Mercedes Smith,,(270) 210-2852,mercedes.smith@lyon.kyschools.us,
-83.8109894,38.6086019,Educational Greenhouse,KCTCS/Maysville Community & Technical College,"1755 US-68 BUS, Maysville, KY 41056",Carrie Taylor,Horticulturist,(606) 759-7141 ext. 66232,carriel.taylor@kctcs.edu,
-83.7898966,38.6347103,Educational Greenhouse,Mason County High School,"1320 US-68, Maysville, KY 41056",Andrew Sorrell,Ag Teacher,,andrew.sorrell@mason.kyschools.us,
-87.233119,37.5483882,Educational Greenhouse,McLean County High School,"1959 KY-136, Calhoun, KY 42327",Drew Taylor,Principal,(270) 273-5278,drew.taylor@mclean.kyschools.us,
-84.762414,37.752152,Educational Greenhouse,Burgin Independent FFA Chapter,"440 E Main St, Burgin, KY 40310",Travis York,Ag Teacher,,travis.york@burgin.kyschools.us,
-84.8621682,37.7840695,Educational Greenhouse,Mercer County High School,"1124 Moberly Rd, Harrodsburg, KY 40330",Michael Jones,Ag Teacher,(859) 734-6364,michael.jones@mercer.kyschools.us,
-85.7003218,36.6926566,Educational Greenhouse,Monroe County High School,"755 Old Mulkey Rd, Tompkinsville, KY 42167",Max Petett,Principal,,Max.Petett@Monroe.kyschools.us,
-87.2242112,37.3611238,Educational Greenhouse,Bremen Elementary School,"5000 Main St, Bremen, KY 42325",Krista Venza,Principal,,venzak@mail.muhlsdk12.org,
-87.1860815,37.2232556,Educational Greenhouse,Muhlenberg County High School,"501 W Everly Brothers Blvd, Greenville, KY 42345",Derrick Benton,Ag Teacher (East),,derrick.benton@muhlenberg.kyschools.us,
-84.037627,38.3138472,Educational Greenhouse,Nicholas County High School,"103 School Dr, Carlisle, KY 40311",Cameron Earlywine,Ag Teacher / FFA Advisor,,cameron.earlywine@nicholas.kyschools.us,
-84.603407,37.1084814,Educational Greenhouse,Pulaski County High School,"511 University Drive, Somerset, KY 42503",Janella Miller,Ag Teacher,(606) 679-1574,janella.miller@pulaski.kyschools.us,
-84.0118676,38.5288769,Educational Greenhouse,Robertson County High School,"1760 Sardis Rd, Mt Olivet, KY 41064",Sanford Holbrook,Superintendent,,sanford.holbrook@robertson.kyschools.us,
-86.5809143,36.7154668,Educational Greenhouse,Franklin-Simpson High School,"400 S College St, Franklin, KY 42134",Felicia Dalton,Ag Teacher,(270) 586-2019,felicia.dalton@simpson.kyschools.us,
-85.380028,37.35962,Educational Greenhouse,Taylor County High School,"2705 Old Hodgenville Rd, Campbellsville, KY 42718",Lindsay Wayne,Ag Teacher / FFA Advisor,,lindsay.wayne@taylor.kyschools.us,
-85.2138428,37.7077326,Educational Greenhouse,Washington County High School,"300 US-150, Springfield, KY 40069",Bart Mattingly,Ag Teacher,(859) 336-5475,bart.mattingly@washington.kyschools.us,
-87.7130614,37.499073,Educational Greenhouse,Webster County High School,"1922 Us Highway 41A S, Dixon, KY 42409",Margo Bruce,Ag Teacher,,margo.bruce@webster.kyschools.us,
-84.7318011,38.0623693,Educational Greenhouse,Woodford County High School,"180 Frankfort St, Versailles, KY 40383",Tracy Probst,,(859) 619-1041,tracy.probst@woodford.kyschools.us,
